연령,성별,보험사,상품명,총보험료,순위,가성비등급
30,남,하나손해,무)뉴 건강하면 더 좋은 하나의 보험(2504) ,136216,1,S등급 (최저가)
30,남,메리츠화재,무)알파Plus보장보험2511,145599,2,A등급
30,남,롯데손해보험,무)let:smile 종합건강보험(더끌림)(2506),148382,3,B등급
30,남,KB손해보험,무)닥터플러스건강보험(25.08),153549,4,C등급
30,남,농협손해,무)NH가성비굿건강보험2504,154104,5,C등급
30,남,현대해상화재,무)퍼펙트플러스종합보험(HI2508),158755,6,D등급
30,남,삼성화재,무)건강보험 마이헬스 파트너(2508.12),161638,7,D등급
30,남,흥국화재,무)흥Good행복한 파워종합보험(25.09),164070,8,D등급
30,남,한화손해보험,무)더건강한 한아름종합보험 2504,170568,9,D등급
30,남,DB손해보험,무)참좋은훼밀리더블플러스종합보험2510,174053,10,D등급
30,여,하나손해,무)뉴 건강하면 더 좋은 하나의 보험(2504) ,99468,1,S등급 (최저가)
30,여,메리츠화재,무)알파Plus보장보험2511,105518,2,A등급
30,여,롯데손해보험,무)let:smile 종합건강보험(더끌림)(2506),106840,3,B등급
30,여,농협손해,무)NH가성비굿건강보험2504,111788,4,C등급
30,여,한화손해보험,무)더건강한 한아름종합보험 2504,118442,5,C등급
30,여,삼성화재,무)건강보험 마이헬스 파트너(2508.12),118845,6,D등급
30,여,흥국화재,무)흥Good행복한 파워종합보험(25.09),119336,7,D등급
30,여,KB손해보험,무)닥터플러스건강보험(25.08),119861,8,D등급
30,여,현대해상화재,무)퍼펙트플러스종합보험(HI2508),123737,9,D등급
30,여,DB손해보험,무)참좋은훼밀리더블플러스종합보험2510,133516,10,D등급
40,남,하나손해,무)뉴 건강하면 더 좋은 하나의 보험(2504) ,93005,1,S등급 (최저가)
40,남,농협손해,무) NH건강할때굿플러스건강보험2504(1종 15~40세/3종 41~60세),115452,2,A등급
40,남,한화손해보험,무)더건강한 한아름종합보험 2504,117759,3,B등급
40,남,흥국화재,무)흥Good The 건강한 종합보험(25.10),125120,4,C등급
40,남,삼성화재,무)New내돈내삼1640(2508.5)(16-40)/무)New내돈내삼4170(2508.5)(41-70),131317,5,C등급
40,남,KB손해보험,무)5.10.10 플러스 건강보험(25.08),131535,6,D등급
40,남,현대해상화재,무)퍼펙트플러스종합보험(건강고지ll)(HI2508),135071,7,D등급
40,여,하나손해,무)뉴 건강하면 더 좋은 하나의 보험(2504) ,104220,1,S등급 (최저가)
40,여,메리츠화재,무)알파Plus보장보험2511,106913,2,A등급
40,여,농협손해,무)NH가성비굿건강보험2504,109853,3,B등급
40,여,롯데손해보험,무)let:smile 종합건강보험(더끌림)(2506),115396,4,C등급
40,여,한화손해보험,무)더건강한 한아름종합보험 2504,120766,5,C등급
40,여,흥국화재,무)흥Good행복한 파워종합보험(25.09),121286,6,D등급
40,여,KB손해보험,무)닥터플러스건강보험(25.08),121545,7,D등급
40,여,현대해상화재,무)퍼펙트플러스종합보험(HI2508),124377,8,D등급
40,여,DB손해보험,무)참좋은훼밀리더블플러스종합보험2510,139651,9,D등급
50,남,메리츠화재,무)알파Plus보장보험2511,181462,1,S등급 (최저가)
50,남,하나손해,무)뉴 건강하면 더 좋은 하나의 보험(2504) ,201227,2,A등급
50,남,롯데손해보험,무)let:smile 종합건강보험(더끌림)(2506),202546,3,B등급
50,남,현대해상화재,무)퍼펙트플러스종합보험(HI2508),220224,4,C등급
50,남,KB손해보험,무)닥터플러스건강보험(25.08),225752,5,C등급
50,남,한화손해보험,무)더건강한 한아름종합보험 2504,226050,6,D등급
50,남,흥국화재,무)흥Good행복한 파워종합보험(25.09),227658,7,D등급
50,남,삼성화재,무)건강보험 마이헬스 파트너(2508.12),231035,8,D등급
50,남,농협손해,무)NH가성비굿건강보험2504,235589,9,D등급
50,남,DB손해보험,무)참좋은훼밀리더블플러스종합보험2510,238317,10,D등급
50,여,메리츠화재,무)알파Plus보장보험2511,149482,1,S등급 (최저가)
50,여,롯데손해보험,무)let:smile 종합건강보험(더끌림)(2506),152650,2,A등급
50,여,하나손해,무)뉴 건강하면 더 좋은 하나의 보험(2504) ,152661,3,B등급
50,여,농협손해,무)NH가성비굿건강보험2504,170737,4,C등급
50,여,한화손해보험,무)더건강한 한아름종합보험 2504,171036,5,C등급
50,여,삼성화재,무)건강보험 마이헬스 파트너(2508.12),172837,6,D등급
50,여,KB손해보험,무)닥터플러스건강보험(25.08),174049,7,D등급
50,여,흥국화재,무)흥Good행복한 파워종합보험(25.09),175523,8,D등급
50,여,현대해상화재,무)퍼펙트플러스종합보험(HI2508),175978,9,D등급
50,여,DB손해보험,무)참좋은훼밀리더블플러스종합보험2510,189762,10,D등급
