질병코드,한글명,영문명,카테고리
A17.0,"수막(뇌막, 척수막)의 결핵(G01.*)","Tuberculosis of meninges(cerebral, spinal)(G01*)",뇌혈관
A18.83,심장의 결핵,Tuberculosis of heart,심장
A18.83,심장막의 결핵(I32.0*),Tuberculosis of pericardium(I32.0*),심장
A18.88,결핵성 대뇌동맥염(I68.1*),Tuberculous cerebral arteritis(I68.1*),뇌혈관
A22.0,악성 농포,Malignant pustule,암
A22.0,악성 큰종기,Malignant carbuncle,암
A32.8,리스테리아대뇌동맥염(I68.1*),Listerial cerebral arteritis(I68.1*),뇌혈관
A39.5,수막알균성 심장병,Meningococcal heart disease,심장
A39.5,수막알균성 심장막염(I32.0*),Meningococcal pericarditis(I32.0*),심장
A39.5,수막알균성 심장염 NOS(I52.0*),Meningococcal carditis NOS(I52.0*),심장
A52.0,매독성 대뇌동맥염(I68.1*),"Syphilitic arteritis, cerebral(I68.1*)",뇌혈관
A52.0,매독성 심장막염(I32.0*),Syphilitic pericarditis(I32.0*),심장
A54.8,임균성 심장막염(I32.0*),Gonococcal pericarditis(I32.0*),심장
A98.5,한타바이러스(심장)-폐증후군(B33.4† J17.1*),Hantavirus (cardio)-pulmonary  syndrome(B33.4† J17.1*),심장
B21,악성 신생물을 유발한 사람면역결핍바이러스병,Human immunodeficiency virus [HIV] disease resulting in malignant neoplasms,암
B21.3,"림프성, 조혈성 및 관련 조직의 기타 악성 신생물을 유발한 사람면역결핍바이러스병","HIV disease resulting in other malignant neoplasms of lymphoid, haematopoietic and related tissue",암
B21.7,다발성 악성 신생물을 유발한 사람면역결핍바이러스병,HIV disease resulting in multiple malignant neoplasms,암
B21.8,기타 악성 신생물을 유발한 사람면역결핍바이러스병,HIV disease resulting in other malignant neoplasms,암
B21.9,상세불명의 악성 신생물을 유발한 사람면역결핍바이러스병,HIV disease resulting in unspecified malignant neoplasm,암
B33.2,바이러스심장염,Viral carditis,심장
